movie_id,title,overview
1520,"Fear, The (1995)",
1254,Gone Fishin' (1997),
1101,Six Degrees of Separation (1993),
1273,Color of Night (1994),
204,Back to the Future (1985),
383,"Flintstones, The (1994)",
837,Meet John Doe (1941),
74,Faster Pussycat! Kill! Kill! (1965),
110,Operation Dumbo Drop (1995),
271,Starship Troopers (1997),
1415,"Next Karate Kid, The (1994)",
811,Thirty-Two Short Films About Glenn Gould (1993),
1041,Forget Paris (1995),
670,Body Snatchers (1993),
1346,Dingo (1992),
1146,Calendar Girl (1993),
527,Gandhi (1982),
52,"Madness of King George, The (1994)",
426,"Transformers: The Movie, The (1986)",
77,"Firm, The (1993)",
332,Kiss the Girls (1997),
1097,"Hate (Haine, La) (1995)",
1190,That Old Feeling (1997),
1459,Madame Butterfly (1995),
533,"Daytrippers, The (1996)",
221,Breaking the Waves (1996),
124,Lone Star (1996),
597,Eraser (1996),
1439,Jason's Lyric (1994),
618,Picnic (1955),
990,Anna Karenina (1997),
1002,"Pest, The (1997)",
213,"Room with a View, A (1986)",
539,Mouse Hunt (1997),
412,"Very Brady Sequel, A (1996)",
758,Lawnmower Man 2: Beyond Cyberspace (1996),
669,Body Parts (1991),
1353,1-900 (1994),
782,Little Odessa (1994),
482,Some Like It Hot (1959),
868,Hearts and Minds (1996),
252,"Lost World: Jurassic Park, The (1997)","Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that he has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller."
1104,C'est arrivé près de chez vous (1992),
68,"Crow, The (1994)",
211,M*A*S*H (1970),
531,Shine (1996),"A traditional animation, hand-drawn in 500+ frames (which are also on display as part of the installation). The animation consists solely of a shoe shine: hands move a length of cloth around and across a shoe, syncopated with a minimalistic melody and lyrics written by the artist. Its swaying, repetitive quality draws the audience into a simple and elegant comparison of artistic labor, in the form of drawing, to the marginalized service economy of a global city."
142,Bedknobs and Broomsticks (1971),
415,"Apple Dumpling Gang, The (1975)",
808,"Program, The (1993)",
544,Things to Do in Denver when You're Dead (1995),
1019,"Die xue shuang xiong (Killer, The) (1989)",
583,Romeo Is Bleeding (1993),
1625,Nightwatch (1997),
745,"Ruling Class, The (1972)",
245,"Devil's Own, The (1997)",
612,Lost Horizon (1937),
1340,"Crude Oasis, The (1995)",
842,Pollyanna (1960),
1293,Star Kid (1997),
1202,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",
185,Psycho (1960),
1230,Ready to Wear (Pret-A-Porter) (1994),
354,"Wedding Singer, The (1998)",
343,Alien: Resurrection (1997),"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth."
352,Spice World (1997),
248,Grosse Pointe Blank (1997),
1446,"Bye Bye, Love (1995)",
577,Coneheads (1993),
1186,"Inkwell, The (1994)",
615,"39 Steps, The (1935)",
240,Beavis and Butt-head Do America (1996),
693,Casino (1995),
409,Jack (1996),
880,Soul Food (1997),
679,Conan the Barbarian (1981),
1552,"Hunted, The (1995)",
918,City of Angels (1998),
514,Annie Hall (1977),
788,Relative Fear (1994),
1388,Gabbeh (1996),
1102,Two Much (1996),
1321,Open Season (1996),
1125,"Innocents, The (1961)",
555,White Man's Burden (1995),
530,"Man Who Would Be King, The (1975)",
890,Mortal Kombat: Annihilation (1997),
1627,"Wife, The (1995)",
1528,Nowhere (1997),
947,"Big Blue, The (Grand bleu, Le) (1988)",
241,"Last of the Mohicans, The (1992)",
1296,Indian Summer (1996),
1000,Lightning Jack (1994),
1250,Best of the Best 3: No Turning Back (1995),
1323,"Wooden Man's Bride, The (Wu Kui) (1994)",
276,Leaving Las Vegas (1995),
887,Eve's Bayou (1997),
589,"Wild Bunch, The (1969)",
711,"Substance of Fire, The (1996)",
171,Delicatessen (1991),
1147,My Family (1995),
967,Little Lord Fauntleroy (1936),
1671,"Further Gesture, A (1996)",
562,"Quick and the Dead, The (1995)",Sharon Stone
301,In & Out (1997),
865,"Ice Storm, The (1997)",
1638,Normal Life (1996),
399,"Three Musketeers, The (1993)",
931,"Island of Dr. Moreau, The (1996)",
451,Grease (1978),
507,"Streetcar Named Desire, A (1951)",
1567,Careful (1992),
176,Aliens (1986),"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426."
1470,Gumby: The Movie (1995),
1488,Germinal (1993),
368,Bio-Dome (1996),
847,Looking for Richard (1996),
479,Vertigo (1958),
1223,King of the Hill (1993),
199,"Bridge on the River Kwai, The (1957)","The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans."
16,French Twist (Gazon maudit) (1995),
1188,Young Guns II (1990),
683,Rocket Man (1997),
1581,"Woman in Question, The (1950)",
1342,"Convent, The (Convento, O) (1995)",
716,Home for the Holidays (1995),
1053,Now and Then (1995),
655,Stand by Me (1986),
1034,"Quest, The (1996)",
200,"Shining, The (1980)",
638,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",
384,Naked Gun 33 1/3: The Final Insult (1994),
603,Rear Window (1954),
494,His Girl Friday (1940),
465,"Jungle Book, The (1994)",
611,Laura (1944),
1571,Touki Bouki (Journey of the Hyena) (1973),
298,Face/Off (1997),
57,Priest (1994),
325,Crash (1996),"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims, and he begins to use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife."
44,Dolores Claiborne (1994),
101,Heavy Metal (1981),
275,Sense and Sensibility (1995),
1177,Dunston Checks In (1996),
102,"Aristocats, The (1970)",
694,Persuasion (1995),
108,Kids in the Hall: Brain Candy (1996),
773,Mute Witness (1994),
1176,Welcome To Sarajevo (1997),
463,"Secret of Roan Inish, The (1994)",
994,"Last Time I Committed Suicide, The (1997)",
1056,Cronos (1992),
756,Father of the Bride Part II (1995),
1365,Johnny 100 Pesos (1993),
1466,Margaret's Museum (1995),
1007,Waiting for Guffman (1996),
129,Bound (1996),"When the pets accidentally get separated from their vacationing owners, Chance, Shadow, and Sassy navigate the mean streets of San Francisco, trying to find their home across the Golden Gate Bridge. But the road is blocked by a series of hazards, both man and beast."
1050,"Ghost and Mrs. Muir, The (1947)",
340,Boogie Nights (1997),"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality."
317,In the Name of the Father (1993),
846,To Gillian on Her 37th Birthday (1996),
1624,Hush (1998),
1554,Safe Passage (1994),
708,"Sex, Lies, and Videotape (1989)",
333,"Game, The (1997)",
536,Ponette (1996),
1416,No Escape (1994),
1361,"Search for One-eye Jimmy, The (1996)",
1182,Cops and Robbersons (1994),
620,"Chamber, The (1996)",
810,"Shadow, The (1994)",
599,Police Story 4: Project S (Chao ji ji hua) (1993),
721,Mallrats (1995),
1613,Tokyo Fist (1995),
1080,Celestial Clockwork (1994),
1421,My Crazy Life (Mi vida loca) (1993),
781,French Kiss (1995),
484,"Maltese Falcon, The (1941)",
227,Star Trek VI: The Undiscovered Country (1991),"After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their deadliest encounter."
232,Young Guns (1988),
652,Rosencrantz and Guildenstern Are Dead (1990),
1433,Men of Means (1998),
701,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",
164,"Abyss, The (1989)",
523,Cool Hand Luke (1967),
576,Cliffhanger (1993),
267,unknown,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
149,Jude (1996),
1634,Etz Hadomim Tafus (Under the Domin Tree) (1994),
1197,"Family Thing, A (1996)",
1336,Kazaam (1996),
1326,Boys (1996),"Live at AKASAKA BLITZ on June 15, 1996."
307,"Devil's Advocate, The (1997)",
193,"Right Stuff, The (1983)",
310,"Rainmaker, The (1997)",
862,Jingle All the Way (1996),
64,"Shawshank Redemption, The (1994)","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
1303,"Getaway, The (1994)",
1674,Mamma Roma (1962),
1076,"Pagemaster, The (1994)",
1245,Gridlock'd (1997),
983,"Rich Man's Wife, The (1996)",
519,"Treasure of the Sierra Madre, The (1948)",
950,Georgia (1995),
433,Heathers (1989),
945,Charade (1963),"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines."
219,"Nightmare on Elm Street, A (1984)",
768,Casper (1995),
287,Marvin's Room (1996),
491,"Adventures of Robin Hood, The (1938)",
1352,Shadow of Angels (Schatten der Engel) (1976),
414,My Favorite Year (1982),
362,Blues Brothers 2000 (1998),
1229,Poison Ivy II (1995),
1305,National Lampoon's Senior Trip (1995),
1133,Escape to Witch Mountain (1975),"Tia and Tony are two orphaned youngsters with extraordinary powers. Lucas Deranian poses as their uncle in order to get the kids into the clutches of Deranian's megalomaniacal boss, evil millionaire Aristotle Bolt, who wants to exploit them. Jason, a cynical widower, helps Tia and Tony escape to witch mountain, while at the same time Tia and Tony help Jason escape the pain of the loss of his wife."
1380,Hollow Reed (1996),
454,Bastard Out of Carolina (1996),
1652,Temptress Moon (Feng Yue) (1996),
969,Winnie the Pooh and the Blustery Day (1968),
1042,Just Cause (1995),
585,Son in Law (1993),
1630,"Silence of the Palace, The (Saimt el Qusur) (1994)",
1204,To Be or Not to Be (1942),"In 1942, Henan Province was devastated by one of the most tragic famines in modern Chinese history, resulting in the deaths of at least three million men, women and children. Although the primary cause of the famine was a severe drought, it was exacerbated by locusts, windstorms, earthquakes, epidemic disease and the corruption of the ruling Kuomintang government."
1281,Manny & Lo (1996),
1619,All Things Fair (1996),
722,Nine Months (1995),
1502,Naked in New York (1994),
421,William Shakespeare's Romeo and Juliet (1996),
406,Thinner (1996),
924,White Squall (1996),
778,Don Juan DeMarco (1995),
1544,It Takes Two (1995),
1211,Blue Sky (1994),
882,Washington Square (1997),
1111,Double Happiness (1994),
278,Bed of Roses (1996),
1302,Late Bloomers (1996),
1548,The Courtyard (1995),
632,Sophie's Choice (1982),"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent."
1092,Dear God (1996),
237,Jerry Maguire (1996),"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player."
760,Screamers (1995),
1474,Nina Takes a Lover (1994),
1621,Butterfly Kiss (1995),
439,Amityville: A New Generation (1993),"Keyes, a successful photographer who lives at the border of Skid Row, notices a homeless man with a strange old mirror. Immediately struck by it for reasons he cannot explain, he convinces the man to sell it to him, soon behaving in increasingly erratic and unhinged ways."
1,Toy Story (1995),
2,GoldenEye (1995),
3,Four Rooms (1995),
4,Get Shorty (1995),
5,Copycat (1995),
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),
7,Twelve Monkeys (1995),
8,Babe (1995),"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."
9,Dead Man Walking (1995),
10,Richard III (1995),
11,Seven (Se7en) (1995),
12,"Usual Suspects, The (1995)","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
13,Mighty Aphrodite (1995),
14,"Postino, Il (1994)",
15,Mr. Holland's Opus (1995),
17,From Dusk Till Dawn (1996),
18,"White Balloon, The (1995)",
19,Antonia's Line (1995),
20,Angels and Insects (1995),
21,Muppet Treasure Island (1996),
22,Braveheart (1995),
23,Taxi Driver (1976),A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.
25,"Birdcage, The (1996)",
26,"Brothers McMullen, The (1995)",
27,Bad Boys (1995),
28,Apollo 13 (1995),"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
29,Batman Forever (1995),"In the looming shadows of Gotham City, two villainous souls devise twin schemes of revenge against the city's dark guardian. Two-Face, disfigured by chance and fueled by vengeance, is obsessed with destroying Batman, while the Riddler, a disillusioned genius, pursues the destruction of billionaire Bruce Wayne. Together they've hatched a plot to absorb and control the minds of all of Gotham City's residents, and only Batman and his new partner, Robin, can stop them! But the Dark Knight is hindered by a mystery from his own childhood. He must hope that a new found love can help him overcome the incident that made him what he is. In the end, he must decide: will he be Batman—forever?"
32,Crumb (1994),
34,"Doom Generation, The (1995)",
35,Free Willy 2: The Adventure Home (1995),
36,Mad Love (1995),
37,Nadja (1994),
38,"Net, The (1995)",
39,Strange Days (1995),
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",
41,Billy Madison (1995),
42,Clerks (1994),
43,Disclosure (1994),
46,Exotica (1994),
47,Ed Wood (1994),
48,Hoop Dreams (1994),
49,I.Q. (1994),
51,Legends of the Fall (1994),
53,Natural Born Killers (1994),
54,Outbreak (1995),"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House."
55,"Professional, The (1994)","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."
56,Pulp Fiction (1994),
58,Quiz Show (1994),
59,Three Colors: Red (1994),
61,Three Colors: White (1994),
62,Stargate (1994),
63,"Santa Clause, The (1994)",
65,What's Eating Gilbert Grape (1993),
67,Ace Ventura: Pet Detective (1994),
69,Forrest Gump (1994),
72,"Mask, The (1994)",
73,Maverick (1994),
75,Brother Minister: The Assassination of Malcolm X (1994),
76,Carlito's Way (1993),"Free after years in prison, Carlito Brigante intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld. Reconnecting with his dancer girlfriend, Carlito gets entangled in the shady dealings of his friend Dave Kleinfeld, who also serves as his lawyer. An encounter with shifty gangster Benny Blanco sets the duo on a dangerous path."
78,Free Willy (1993),
80,Hot Shots! Part Deux (1993),
81,"Hudsucker Proxy, The (1994)",
82,Jurassic Park (1993),
83,Much Ado About Nothing (1993),
84,Robert A. Heinlein's The Puppet Masters (1994),
85,"Ref, The (1994)",
86,"Remains of the Day, The (1993)",
87,Searching for Bobby Fischer (1993),
88,Sleepless in Seattle (1993),"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Talking about his father’s loneliness soon leads to a meeting with a young female journalist, who has flown to Seattle to write a story about the boy and his father."
89,Blade Runner (1982),"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
90,So I Married an Axe Murderer (1993),
91,"Nightmare Before Christmas, The (1993)",
92,True Romance (1993),
93,Welcome to the Dollhouse (1995),
94,Home Alone (1990),
95,Aladdin (1992),"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes."
96,Terminator 2: Judgment Day (1991),"Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor."
97,Dances with Wolves (1990),
98,"Silence of the Lambs, The (1991)",
99,Snow White and the Seven Dwarfs (1937),
103,All Dogs Go to Heaven 2 (1996),
104,Theodore Rex (1995),
105,Sgt. Bilko (1996),
106,Diabolique (1996),
107,Moll Flanders (1996),
109,Mystery Science Theater 3000: The Movie (1996),"Dr. Clayton Forrester figures he can rule the world if he deadens his subjects' brains by making them endure terrible movies. Exploiting his access to nearby satellite-dwellers Mike Nelson and his robot pals, Crow T. Robot and Tom Servo, Forrester makes them watch ""This Island Earth"", a cheesy 1950s spaceship film. But when Mike and friends make funny comments throughout the movie and others that follow, Forrester's plan looks increasingly flimsy."
111,"Truth About Cats & Dogs, The (1996)",
112,Flipper (1996),
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",
114,Wallace & Gromit: The Best of Aardman Animation (1996),
115,"Haunted World of Edward D. Wood Jr., The (1995)",
117,"Rock, The (1996)",
118,Twister (1996),
119,Maya Lin: A Strong Clear Vision (1994),
120,Striptease (1996),
121,Independence Day (ID4) (1996),
122,"Cable Guy, The (1996)",
123,"Frighteners, The (1996)",
126,"Spitfire Grill, The (1996)",
127,"Godfather, The (1972)",
128,Supercop (1992),
130,Kansas City (1996),
131,Breakfast at Tiffany's (1961),
132,"Wizard of Oz, The (1939)",
133,Gone with the Wind (1939),
134,Citizen Kane (1941),
135,2001: A Space Odyssey (1968),"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
137,Big Night (1996),
138,D3: The Mighty Ducks (1996),
139,"Love Bug, The (1969)",
140,Homeward Bound: The Incredible Journey (1993),
141,"20,000 Leagues Under the Sea (1954)",
143,"Sound of Music, The (1965)",
144,Die Hard (1988),"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her offices Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
145,"Lawnmower Man, The (1992)",
146,Unhook the Stars (1996),
147,"Long Kiss Goodnight, The (1996)",
148,"Ghost and the Darkness, The (1996)",
150,Swingers (1996),
151,Willy Wonka and the Chocolate Factory (1971),
152,Sleeper (1973),
153,"Fish Called Wanda, A (1988)",
154,Monty Python's Life of Brian (1979),"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs."
155,Dirty Dancing (1987),"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."
156,Reservoir Dogs (1992),
157,Platoon (1986),
158,Weekend at Bernie's (1989),
159,Basic Instinct (1992),
160,Glengarry Glen Ross (1992),
161,Top Gun (1986),"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot."
162,On Golden Pond (1981),
165,Jean de Florette (1986),
166,Manon of the Spring (Manon des sources) (1986),
167,Private Benjamin (1980),
168,Monty Python and the Holy Grail (1974),
170,Cinema Paradiso (1988),
